Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
155	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_135_S174_L001_R1_001	35716	1790	32873	1053	0.05	0.92	0.03	0.034	0.006	0.333
156	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_135_S78_L001_R1_001	62236	20918	41057	261	0.34	0.66	0	0.056	0.018	0
157	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_139_S175_L001_R1_001	42924	2239	35903	4782	0.05	0.84	0.11	0.242	0.03	0
158	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_139_S79_L001_R1_001	97800	26833	64835	6132	0.27	0.66	0.06	0.644	0.098	0
159	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_143_S176_L001_R1_001	36631	1749	29186	5696	0.05	0.8	0.16	0.3	0.054	0.111
160	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_143_S80_L001_R1_001	82750	17947	59697	5106	0.22	0.72	0.06	0.48	0.088	0.045
161	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_145_S177_L001_R1_001	187336	9569	126169	51598	0.05	0.67	0.28	0.646	0.106	0.226
162	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_145_S81_L001_R1_001	10081	2337	6359	1385	0.23	0.63	0.14	0.28	0.06	0
163	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_149_S178_L001_R1_001	17563	762	11573	5228	0.04	0.66	0.3	0.32	0.05	0.04
164	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_149_S82_L001_R1_001	182383	30569	52199	99615	0.17	0.29	0.55	0.83	0.132	0.242
165	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_156_S179_L001_R1_001	66122	3593	50006	12523	0.05	0.76	0.19	0.4	0.076	0.105
166	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_156_S83_L001_R1_001	121001	30990	70098	19913	0.26	0.58	0.16	0.79	0.136	0.059
167	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_157_S180_L001_R1_001	194102	9442	149556	35104	0.05	0.77	0.18	0.436	0.052	0.192
168	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_157_S84_L001_R1_001	166967	25678	95296	45993	0.15	0.57	0.28	0.782	0.12	0.117
169	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_158_S181_L001_R1_001	71327	3633	60740	6954	0.05	0.85	0.1	0.212	0.03	0.2
170	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_158_S85_L001_R1_001	92174	28707	60133	3334	0.31	0.65	0.04	0.44	0.052	0.038
171	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_167_S182_L001_R1_001	57341	2612	51882	2847	0.05	0.9	0.05	0.022	0.002	0
172	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_167_S86_L001_R1_001	96080	27875	68165	40	0.29	0.71	0	0.002	0	NA
173	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_168_S183_L001_R1_001	48727	2384	44956	1387	0.05	0.92	0.03	0.052	0.01	0.2
174	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_168_S87_L001_R1_001	65881	20782	44450	649	0.32	0.67	0.01	0.126	0.026	0
175	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_173_S184_L001_R1_001	64079	3670	60386	23	0.06	0.94	0	0	0	NA
176	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_173_S88_L001_R1_001	75678	20621	46396	8661	0.27	0.61	0.11	0.654	0.098	0
177	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_174_S185_L001_R1_001	49225	2190	35163	11872	0.04	0.71	0.24	0.374	0.048	0.25
178	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_174_S89_L001_R1_001	241968	37668	86594	117706	0.16	0.36	0.49	0.884	0.122	0.311
179	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_176_S186_L001_R1_001	40378	2101	30971	7306	0.05	0.77	0.18	0.302	0.042	0.095
180	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_176_S90_L001_R1_001	56222	17017	32640	6565	0.3	0.58	0.12	0.628	0.084	0.024
181	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_179_S187_L001_R1_001	59969	3047	52167	4755	0.05	0.87	0.08	0.202	0.026	0.231
182	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_179_S91_L001_R1_001	69291	22245	44995	2051	0.32	0.65	0.03	0.368	0.05	0
183	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_182_S188_L001_R1_001	121011	6076	106130	8805	0.05	0.88	0.07	0.2	0.042	0.095
184	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_182_S92_L001_R1_001	62223	19754	41286	1183	0.32	0.66	0.02	0.232	0.058	0.069
185	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_183_S189_L001_R1_001	45604	2382	35184	8038	0.05	0.77	0.18	0.32	0.056	0.107
186	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_183_S93_L001_R1_001	68062	20155	41088	6819	0.3	0.6	0.1	0.632	0.09	0.044
187	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_189_S190_L001_R1_001	73839	3965	56526	13348	0.05	0.77	0.18	0.396	0.056	0.143
188	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_189_S94_L001_R1_001	57763	14899	38211	4653	0.26	0.66	0.08	0.544	0.08	0
189	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_201_S191_L001_R1_001	95351	4859	87033	3459	0.05	0.91	0.04	0.072	0.01	0.6
190	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_201_S95_L001_R1_001	66523	20861	45139	523	0.31	0.68	0.01	0.116	0.014	0
